--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
CPU type:	Intel Xeon Broadwell EN/EP/EX processor
CPU clock:	2.40 GHz
--------------------------------------------------------------------------------
flush8.58937e+37
start
runtime=1.36533
end
1.35475
avg gflop = 1.35475
fin origin conv
comparing
fin compare
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.399886636 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region Compute,Group 1 Raw,CACHES,67,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,
RDTSC Runtime [s],1.354455,0.135299,0.138145,0.096896,0.267605,0.117174,0.073716,0.059055,0.122462,0.209230,0.076526,0.352724,0.207862,0.072193,0.002968,0.040427,0.016162,0.024353,0.023971,0.029573,0.019421,0.012841,0.016356,0.013960,0.035058,0.046937,0.012895,0.029558,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27
INSTR_RETIRED_ANY,FIXC0,629830800,425212700,433518200,303755800,618743100,361676200,230789500,184697600,384578700,619298100,235767800,1007822000,619747000,226077800,7961362,124754200,48555350,73469620,73427050,90283390,58737440,36027240,48984840,42207750,108017100,143595600,36033420,90468310
CPU_CLK_UNHALTED_CORE,FIXC1,558861600,354300800,361398700,252134900,518065500,305696800,190529500,151690400,320158000,517478100,197849600,860351300,517885800,186497800,2966759,101226900,37054660,58754820,58377460,72184070,45673820,26614820,37361400,32044670,87195420,118667700,26519290,72326770
CPU_CLK_UNHALTED_REF,FIXC2,462590100,293298600,299176700,208749500,428829300,253069200,157760200,125620800,265038500,428328800,163820600,712092200,428677500,154424900,2541480,83855180,30748850,48709780,48400990,59819780,37882680,22111490,30999980,26607070,72244030,98291520,22029940,59937460
L1D_REPLACEMENT,PMC0,877554,448926,455215,449983,458254,438300,448407,449826,439616,456521,451804,453894,452441,448765,447702,453284,451823,452294,437102,453135,450615,451997,452997,438025,456784,452731,452561,452859
L2_TRANS_L1D_WB,PMC1,120456,21109,22049,21383,22581,20994,21318,21394,20862,22051,21831,22122,21883,21273,21134,22196,22154,22080,20878,22207,21882,22127,21888,20829,22330,22281,21891,21998
L2_LINES_IN_ALL,PMC2,901930,38907,39590,39451,46787,37440,39681,37757,35602,37422,38721,44147,39867,39536,37961,38955,39101,38986,35709,39834,37032,37619,37950,35240,38924,40514,40514,36301
L2_TRANS_L2_WB,PMC3,45350,4002,4221,3837,4215,3429,3887,3853,3519,4742,4354,4387,3618,3418,3561,3816,4097,3730,3586,3798,3753,3989,3754,3622,4087,4073,4662,3917
