--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
CPU type:	Intel Xeon Broadwell EN/EP/EX processor
CPU clock:	2.40 GHz
--------------------------------------------------------------------------------
flush-1.015e+18
start
end
0.0448887
avg gflop = 0.0448887
fin origin conv
comparing
fin compare
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.399995755 GHz,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region Compute,Group 1 Raw,CACHES,67,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 26,Core 27,
RDTSC Runtime [s],1.173317,0.012420,0.074627,0.073121,0.072811,1.049959,0.280117,0.013524,0.012300,0.043735,0.074881,0.031070,0.000702,0.024860,0.027795,0.018529,0.019596,0.032506,0.025220,0.021802,0.021188,0.015547,0.018087,0.018171,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 26,Core 27
INSTR_RETIRED_ANY,FIXC0,1139795000,37210620,233252900,228554800,227971300,614112900,613021300,40743750,36917770,136110500,234620100,95881640,305828,76000150,84707780,56056180,59307760,100400900,77537340,66778140,64982830,47157500,54758720,54211700
CPU_CLK_UNHALTED_CORE,FIXC1,984439800,31315050,196382700,192386200,191913400,530035500,516001600,34286820,31058210,114554300,197517200,80729860,277926,63984820,71746100,47194730,50273640,84537640,65274830,56198820,54655790,39661560,46344090,46480500
CPU_CLK_UNHALTED_REF,FIXC2,814715000,25920910,162530800,159221800,158829900,438655400,427042200,28380910,25709210,94809000,163468000,66815230,236712,52957780,59380820,39063460,41610890,69967700,54026090,46514450,45238080,32828660,38359850,38473130
L1D_REPLACEMENT,PMC0,47419,14939,14825,14866,14198,75907,22977,14359,14083,14437,14327,14516,14225,14754,14961,14743,14466,14267,14509,14322,14389,14187,14037,14451
L2_TRANS_L1D_WB,PMC1,4769,1185,1238,1188,1044,8436,2577,951,978,1031,1012,1027,1032,1274,1453,1338,994,1046,1050,1104,1167,1051,1100,1041
L2_LINES_IN_ALL,PMC2,85410,5622,5655,6000,4853,136049,12706,5568,5328,5221,5414,5528,5429,6069,5899,5850,5499,5174,5587,5397,5195,5288,5319,5809
L2_TRANS_L2_WB,PMC3,741,283,271,303,214,1039,615,241,322,221,239,238,349,267,293,299,216,261,245,249,233,266,249,251
