--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
CPU type:	Intel Xeon Broadwell EN/EP/EX processor
CPU clock:	2.40 GHz
--------------------------------------------------------------------------------
flush1.292e+09
start
end
0.0440348
avg gflop = 0.0440348
fin origin conv
comparing
fin compare
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.39997884 GHz,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region Compute,Group 1 Raw,CACHES,67,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 25,Core 26,Core 27,
RDTSC Runtime [s],1.194430,0.034569,0.066419,0.109736,0.028127,0.039126,0.054474,0.082610,0.054657,0.027481,0.128217,0.014968,0.158291,0.495438,0.000621,0.013755,0.012567,0.013788,0.012761,0.014660,0.013835,0.014298,0.015028,0.013769,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 25,Core 26,Core 27
INSTR_RETIRED_ANY,FIXC0,585411300,107333400,204639800,344594900,86984700,121770700,169724300,255110400,170108800,84406220,396262300,45266680,498652300,613152900,296000,41690330,37931720,41805950,38519450,44519050,41044000,43352980,45332770,41693440
CPU_CLK_UNHALTED_CORE,FIXC1,518162300,90368220,174824300,290107700,73263590,102513800,142991400,217516400,143335900,71156580,339065500,38175060,419682600,519890200,238731,35070810,31932070,35155560,32392330,37479300,35183310,36486760,38205330,35117470
CPU_CLK_UNHALTED_REF,FIXC2,428830500,74793790,144687600,240094800,60637630,84845570,118345100,180018100,118629900,58893000,280611900,31598350,347329000,430259800,203424,29029750,26432260,29099400,26812610,31023650,29122580,30201740,31624340,29068700
L1D_REPLACEMENT,PMC0,88814,14923,14916,14472,14594,14721,15804,16246,15287,15600,15025,14483,15093,31685,14126,14205,14400,14096,14268,14117,14189,14377,14709,14666
L2_TRANS_L1D_WB,PMC1,12498,1295,1130,1200,1232,1039,1499,1569,1282,1376,1175,1076,1065,2716,967,1059,1059,997,1062,1035,1037,1031,1340,1091
L2_LINES_IN_ALL,PMC2,151403,6078,5987,5403,6094,6140,7309,6894,6372,6786,5808,5570,5602,53984,5366,5031,5710,5362,5319,5520,5377,5489,6024,6049
L2_TRANS_L2_WB,PMC3,3182,322,407,347,317,302,594,625,654,611,490,264,269,298,363,278,307,244,244,262,262,288,285,295
LLC_VICTIMS_M,CBOX0C1,90736,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX1C1,90563,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX2C1,90830,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX3C1,91094,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX4C1,91114,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX5C1,90086,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX6C1,91327,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX7C1,90706,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX8C1,92686,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX9C1,92097,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX10C1,92021,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX11C1,92622,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX12C1,66606,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX13C1,66658,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX14C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX15C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX16C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX17C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX18C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX19C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX20C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX21C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_LOOKUP_DATA_READ,CBOX0C0,2620977,0,0,0,0,0,0,0,0,0,0,0,0,0,6892,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX1C0,2587254,0,0,0,0,0,0,0,0,0,0,0,0,0,6966,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX2C0,4907488,0,0,0,0,0,0,0,0,0,0,0,0,0,6917,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX3C0,2645371,0,0,0,0,0,0,0,0,0,0,0,0,0,6680,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX4C0,1934799,0,0,0,0,0,0,0,0,0,0,0,0,0,6498,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX5C0,1634244,0,0,0,0,0,0,0,0,0,0,0,0,0,6725,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX6C0,2894203,0,0,0,0,0,0,0,0,0,0,0,0,0,7485,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX7C0,2476704,0,0,0,0,0,0,0,0,0,0,0,0,0,6938,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX8C0,2436729,0,0,0,0,0,0,0,0,0,0,0,0,0,6573,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX9C0,2827414,0,0,0,0,0,0,0,0,0,0,0,0,0,6518,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX10C0,2402470,0,0,0,0,0,0,0,0,0,0,0,0,0,7048,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX11C0,5334422,0,0,0,0,0,0,0,0,0,0,0,0,0,7326,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX12C0,1874794,0,0,0,0,0,0,0,0,0,0,0,0,0,5966,0,0,0,0,0,0,0,0,0
LLC_LOOKUP_DATA_READ,CBOX13C0,2018927,0,0,0,0,0,0,0,0,0,0,0,0,0,5786,0,0,0,0,0,0,0,0,0
