--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
CPU type:	Intel Xeon Broadwell EN/EP/EX processor
CPU clock:	2.40 GHz
--------------------------------------------------------------------------------
flush1.31378e+23
start
end
0.0369849
avg gflop = 0.0369849
fin origin conv
comparing
fin compare
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Broadwell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.40000691 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region Compute,Group 1 Raw,CACHES,67,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,
RDTSC Runtime [s],1.424978,0.048070,0.123549,0.123342,0.116722,0.037596,0.084308,0.021901,0.031018,0.044455,0.055620,0.085484,0.017298,0.025671,0.001515,0.014927,0.013871,0.014674,0.012868,0.013930,0.015695,0.013596,0.013508,0.014651,0.014840,0.012752,0.013042,0.017144,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27
INSTR_RETIRED_ANY,FIXC0,638564100,147088400,379026000,384854200,364098000,112605500,261858900,64573390,93502590,136016200,169138800,260615200,49999990,76540470,266227,42315980,39124060,41653400,35971160,39389310,44807140,38318340,38064310,39631140,42119950,35548540,36477220,49433030
CPU_CLK_UNHALTED_CORE,FIXC1,569871200,123889000,324323500,324105500,306575800,95979380,220420300,54422490,78694130,114522900,142375600,223407100,42088520,64436680,234896,35765710,32983460,35127780,30296620,33193220,37783130,32282030,32086490,33366360,35460440,29983830,30722270,41677800
CPU_CLK_UNHALTED_REF,FIXC2,471607600,102535900,268410400,268232400,253724600,79437310,182423200,45042960,65130220,94783850,117833300,184896000,34838300,53333060,200040,29605540,27302900,29077390,25079230,27476210,31275790,26722220,26561020,27618000,29352310,24820900,25430780,34498560
L1D_REPLACEMENT,PMC0,204050,6130,6447,6905,6362,6029,5974,4971,6299,6077,5654,6297,5890,6402,6188,6449,6649,6793,6301,6542,6984,6521,6030,5567,5824,6151,5986,6056
L2_TRANS_L1D_WB,PMC1,44525,1415,1549,1574,1511,1432,1392,1901,1462,1348,1398,1490,1327,1519,1499,1520,1653,1703,1409,1607,1667,1489,1416,1433,1521,1546,1453,1412
L2_LINES_IN_ALL,PMC2,400636,4099,4140,4439,4101,4087,3929,3129,3683,3701,3872,3958,3856,3927,4036,4186,4422,4485,4170,4140,5362,4182,4012,4115,3882,4355,4071,3881
L2_TRANS_L2_WB,PMC3,13874,308,376,406,278,303,237,205,217,274,324,183,284,219,331,224,306,290,248,220,325,198,255,264,292,285,249,214
LLC_VICTIMS_M,CBOX0C1,84311,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX1C1,83659,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX2C1,84137,0,0,0,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX3C1,84652,0,0,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX4C1,84122,0,0,0,0,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX5C1,84385,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX6C1,84475,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX7C1,84157,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX8C1,85445,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX9C1,84543,0,0,0,0,0,0,0,0,0,0,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX10C1,85315,0,0,0,0,0,0,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX11C1,85360,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX12C1,66106,0,0,0,0,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX13C1,66503,0,0,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0
LLC_VICTIMS_M,CBOX14C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX15C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LLC_VICTIMS_M,CBOX16C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
